e-flyer;ISBN;last name of 1st author;authors without affiliation;title;subtitle;series;edition;copyright year;pages arabic;cover;medium type;bibliography;MRW;no. of volumes;price status EUR net;EUR net;EUR gross (D);EUR gross (A);GBP net;CHF gross;pre-pub EUR net;pre-pub EUR gross (D);pre-pub EUR gross (A);pre-pub EUR valid until;pre-pub GBP net;pre-pub CHF gross;language;main subject;subject 1;bic code 1;subject 2;bic code 2;bookstore location;SN No.;SN status;product category;publisher;availability status;release date;distribution rights;table of contents short;information text;USP international;EAN Code;publication class
X;978-3-540-93809-5;Pretsch;"Ernö Pretsch; Philippe Bühlmann; Martin Badertscher";Structure Determination of Organic Compounds;Tables of Spectral Data;;4th ed.;2009;436;Softcover;Book;XVI, 436 p. 491 illus.;;;final;49,95;53,45;54,95;44,99;83;;;;;;;English;Chemistry and Materials Science;C11006 Analytical Chemistry ;PNF;C19007 Organic Chemistry;PNN;Chemistry;Mrz 09;Title advertised in News;Graduate/Advanced undergraduate textbook;Springer-Verlag Berlin Heidelberg;Available;19.03.2009;;<P>Introduction.- Summary Tables.- Combination Tables.- 13C NMR Spectroscopy.- 1H NMR Spectroscopy.- Heteronuclear NMR Spectroscopy.- IR Spectroscopy.- Mass Spectrometry.- UV/Vis Spectroscopy.</P>;<P>This fourth edition of the highly successful and concise textbook contains about 20 % new data. Now included are chapters on <SUP>19</SUP>F and <SUP>31</SUP>P NMR as well as references to important Raman bands. With their unique approach of presenting - in the form of texts, tables, charts, and graphs - a succinct compilation of essential reference data for the interpretation of NMR, IR, UV/Vis, and mass spectra, the authors also provide a hands-on guide for interpreting experimental spectral data and elucidating the structure of the respective compounds behind them.</P> <P>Besides spectra of common solvents, calibration reagents, and MALDI and FAB MS matrix materials, fragmentation rules for mass spectrometry and UV/Vis spectra of representative compounds are included. The book will benefit students during courses and exercises, and advanced learners may use it to supplement their understanding of extended textbooks on the topic. While only a basic knowledge of spectroscopic techniques is required to use this book, it will serve as a data reference for specialists in the field and will support practitioners routinely faced with the task of interpreting spectral information.</P> <P>From a review of the previous edition:</P> <P>'Practically all teachers in spectroscopy and countless students know these books and work continuously with them.' (Magnetic Resonance in Chemistry, 2002, Vol. 40, Issue 3, p. 247)</P>;<P>Fourth edition of the highly successful textbook now offering 20% new data</P> <P>Now included are chapters on (19)F-NMR and (31)P-NMR as well as references to important Raman bands</P>;9<HTOFPA=jdiajf>;Students
X;978-3-540-68650-7;Schlattmann;Peter Schlattmann;Medical Applications of Finite Mixture Models;;Statistics for Biology and Health  ;;2009;246;Hardcover;Book;X, 246 p. 74 illus.;;;final;64,95;69,5;71,45;59,99;108;;;;;;;English;Statistics;S15007 Statistics for Life Sciences, Medicine, Health Sciences;PBT;H27002 Public Health/Gesundheitswesen;MBN;Statistics;Jul 08;Title advertised in News;Monograph;Springer-Verlag Berlin Heidelberg;Available;19.03.2009;;Introduction - Heterogeneity in Medicine.- Modeling Count Data.- Theory and Algorithms.- Disease Mapping and Cluster Investigations.- Modeling Heterogeneity in Psychophysiology.- Investigating and Analyzing Heterogeneity in Meta-Analysis.- Analysis of Gene Expression Data.;<P>The book shows how to model heterogeneity in medical research with covariate adjusted finite mixture models. The areas of application include epidemiology, gene expression data, disease mapping, meta-analysis, neurophysiology and pharmacology. After an informal introduction the book provides and summarizes the mathematical background necessary to understand the algorithms. The emphasis of the book is on a variety of medical applications such as gene expression data, meta-analysis and population pharmacokinetics. These applications are discussed in detail using real data from the medical literature. The book offers an R package which enables the reader to use the methods for his/her needs.</P>;<P>Covers wide range of applications of finite mixture models in the health sciences</P> <P>Author provides related R package</P>;9<HTOFPA=gigfah>;Science
;978-3-8274-2108-1;Schmitz;Sabine Schmitz;Der Experimentator: Zellkultur;;Experimentator  ;2. Aufl.;2009;289;Brosch.;Buch;XIV, 289 S. 50 Abb.;;;final;30,79;32,95;33,88;24,99;51,5;;;;;;;Deutsch;Biologie;L16008 Cell Biology;PSF;L16020 Cell Culture;PSF;Biologie;Jan 09;Title advertised in News;Lehrbuch;Spektrum Akademischer Verlag;Available;19.03.2009;;1. Die Geschichte der Zellkultur.- 2. Zellbiologische Grundlagen?- 3. Was braucht man für die Einrichtung eines Zellkulturlabors?- 4. Relevante Regelwerke.- 5. Zellkulturen, Zelllinien und deren Einsatzmöglichkeiten.- 6. Steriltechnik und Subkultur.- 7. Medien.- 8. Zellkultursupplemente und andere Zusätze.- 9. Adhäsion und Detachment.- 10. Kontaminationen in der Zellkultur.- 11. Diagnose und Beseitigung von Kontaminationen.- 12. Kryokonservierung und Langzeitlagerung von Zellen.- 13. Zellbiologische und Routinemethoden.- 14. Moderne Techniken in der angewandten Zellkultur.- 15. Fortbildungsmöglichkeiten.- 16. Nützliche Adressen und Informationen.;<P>Lieber EXPERIMENTATOR, dieses Buch vermittelt Ihnen das nötige Grundlagenwissen und ist eine Orientierungshilfe im verwirrenden Dschungel von Zellen, Medien, Seren, Geräten und Vorschriften. Anschauliche Vergleiche und Beispiele sowie der lockere Schreibstil machen es zu einer informativen und spannenden Lektüre. Häufig auftretende Probleme (z.B. Kontaminationen in der Zellkultur) werden eingehend behandelt und Lösungsvorschläge angeboten. Die <STRONG>2. Auflage</STRONG> wurde um das Thema Kreuzkontaminationen und falsch identifizierte Zelllinien erweitert. Schwerpunkte wie Steriltechnik, Subkultur, Adhäsion und Detachment, Kryokonservierung und Langzeitlagerung von Zellen sowie zellbiologische Methoden werden verständlich dargestellt. Der Einsatz neuer Techniken wie siRNA wird an einem aktualisierten Praxisbeispiel erklärt und um einen Beitrag zur in vitro-Differenzierung mesenchymaler Stammzellen ergänzt.</P> <P></P> <P>Darüber hinaus enthält das Buch eine überarbeitete Sammlung von Ressourcen für die Beschaffung von Zelllinien, Kontaktadressen für Fortbildungskurse und Dienstleistungsangebote rund um die Zellkultur sowie Listen informativer Datenbanken und nützlicher Adressen. Solch ein umfangreicher Fundus lädt Sie zum Stöbern und Schmökern ein und bietet auch dem erfahrenen Zellkultur-Profi neue Informationen. Diese Auflage bietet einen Überblick über den neuesten Stand von Verordnungen und Regelwerken.</P>;;9<HTOINH=ecbaib>;Lehrbuch
X;978-3-540-85696-2;Schomburg;"Dietmar Schomburg; Ida Schomburg (Eds.)";Class 2 Transferases;EC 2.1-2.7.10;Springer Handbook of Enzymes  Supplement volume S2;2nd ed.;2009;565;Hardcover;Book;XX, 565 p.;;;final;279;298,53;306,9;253,5;463,5;;;;;;;English;Life Sciences;L14005 Biochemistry, general;PSB;B1700X Molecular Medicine ;MFGC;Life Sciences;Sep 08;Title advertised in News;Reference work;Springer-Verlag Berlin Heidelberg;Available;19.03.2009;;;<P>Springer Handbook of Enzymes provides data on enzymes sufficiently well characterized. It offers concise and complete descriptions of some 5,000 enzymes and their application areas. Data sheets are arranged in their EC-Number sequence and the volumes themselves are arranged according to enzyme classes.</P> <P>This new, second edition reflects considerable progress in enzymology: many enzymes are newly classified or reclassified. Each entry is correlated with references and one or more source organisms. New datafields are created: application and engineering (for the properties of enzymes where the sequence has been changed). The total amount of material contained in the Handbook has more than doubled so that the complete second edition consists of 39 volumes as well as a Synonym Index. In addition, starting in 2009, all newly classified enzymes are treated in Supplement Volumes.</P> <P>Springer Handbook of Enzymes is an ideal source of information for researchers in biochemistry, biotechnology, organic and analytical chemistry, and food sciences, as well as for medicinal applications.</P>;<P>Offers concise and complete description of about 5,000 enzymes sufficiently well characterized as well as their application in analytical, synthetic and biotechnology processes, in food industry, and for medicinal treatments.</P> <P>This new, second edition reflects considerable progress in enzymology: many of the enzymes have either been newly classified, or re-classified</P> <P>Content in this new edition has doubled: now consists of 39 volumes as well as a synonym index</P> <P>Starting in 2009 all newly classified enzymes are treated in the Supplement Volumes</P> <P>Available in print as well as online</P>;9<HTOFPA=ifgjgc>;Science
;978-3-540-78854-6;Stolzenberg;"Kerstin Stolzenberg; Krischan Heberle";Change Management;Veränderungsprozesse erfolgreich gestalten - Mitarbeiter mobilisieren;;2., aktualisierte u. erw. Aufl.;2009;238;Geb.;Buch;Etwa 245 S. 106 Abb.;;;final;37,34;39,95;41,07;29,99;62;;;;;;;Deutsch;Psychologie;Y20030 Industrial and Organisational Psychology;JCH;W23040 Management/Business for Professionals;KMK;Management Praxis;Feb 09;Title advertised in News;Fachbuch;Springer-Verlag Berlin Heidelberg;Available;19.03.2009;;1. Vision und Zielvereinbarung.- Analyse der Situation und Entwicklung einer Vision.- Kommunikation der Vision.- Planung und Umsetzung der Vision.- 2. Kommunikation.- Planung eines Kommunikationskonzeptes.- Umsetzung der Kommunikationsmaßnahmen.- 3. Beteiligung.- Kriterien zur Auswahl von Beteiligungsmaßnahmen definieren.- Beteiligungsmaßnahmen ankündigen.- Beteiligungsmaßnahmen durchführen.- Über Ergebnisse informieren.- 4. Qualifizierung.- Analyse der betroffenen Funktionen und Anforderungen.- Ermittlung der Qualifizierungsbedarfe.- Umsetzung der Qualifizierungsmaßnahmen.- 5. Fazit. - 4 Thesen zum Einsatz von Veränderungsmanagement.;<P>In Zeiten des globalen Wandels sind Veränderungen für Unternehmen an der Tagesordnung. Change Manager sind diejenigen, die in ihrer täglichen Praxis Veränderungen in Organisationen begleiten und gestalten. Während meist die Frage im Fokus steht, wie eine Veränderung fachlich-strukturell durchgeführt werden muss, scheitern viele Veränderungsprojekte daran, dass das A und O eines erfolgreichen Change Managements nicht bedacht wird: Wie holt man die betroffenen Mitarbeiter ins Boot und wie motiviert man sie, die Veränderungen mitzutragen? </P> <P>In diesem praxisbezogenen Buch zeigen zwei erfahrene Organisationsentwickler, wie man ein Veränderungsmanagement fachlich und psychologisch erfolgreich gestaltet. Es werden 4 zentrale Schritte aufgezeigt: Vision und Ziele, Kommunikation, Beteiligung sowie Qualifizierung. Das erfolgreiche Handbuch bietet auch in der zweiten Auflage viele Materialien, Methoden und Tools für die Praxis. Detaillierte Vorgehensweisen, Ablaufschemata, Gesprächsleitfäden und Checklisten werden jetzt auch zum Download im Internet angeboten. - Change Management Schritt für Schritt.</P>;;9<HTOFPA=hiifeg>;Praktiker
;978-3-540-88902-1;Appell;Jürgen Appell;Analysis in Beispielen und Gegenbeispielen;Eine Einführung in die Theorie reeller Funktionen;Springer-Lehrbuch  ;;2009;470;Brosch.;Buch;XVIII, 470 S. 45 Abb.;;;final;27,99;29,95;30,8;22,99;46,5;;;;;;;Deutsch;Mathematik;M12007 Analysis;PBKB;;;Mathematik;Feb 09;Title advertised in News;Lehrbuch;Springer-Verlag Berlin Heidelberg;Available;20.03.2009;;<P>Stetige Funktionen.- Differenzierbare Funktionen.- Integrierbare Funktionen.- Merkwürdige Funktionen.- Funktionen mehrerer Variabler.- Höhere Integrale.</P>;<P>Das Buch gibt in sechs Kapiteln eine Einführung in die Theorie der reellen Funktionen einer und mehrerer Variabler. Hierbei stehen nicht so sehr abstrakte Ergebnisse im Vordergrund, sondern es werden besonders viele Beispiele und Gegenbeispiele präsentiert, anhand derer man die Bedeutung mathematischer Sätze besonders gut erkennen kann.</P> <P>In den ersten drei Kapiteln werden die wesentlichen Ergebnisse über stetige, differenzierbare und integrierbare Funktionen zusammengestellt. <BR>Das vierte Kapitel geht etwas über den üblichen Analysisstoff hinaus und ist 'merkwürdigen' Teilmengen der reellen Achse und zugehörigen Funktionen gewidmet. Funktionen mehrerer Variabler werden im fünften und sechsten Kapitel behandelt.</P> <P>Über die starke Betonung von Beispielen hinaus ist ein weiteres Merkmal des Buches die große Anzahl von Übungsaufgaben am Ende jedes Kapitels. Es ist daher auch sehr gut als Aufgabensammlung zur Prüfungsvorbereitung geeignet.</P>;;9<HTOFPA=iijacb>;Lehrbuch
X;978-3-540-89227-4;Baluska;"Frantisek Baluska; Stefano Mancuso (Eds.)";Signaling in Plants;;Signaling and Communication in Plants  ;;2009;308;Hardcover;Book;XII, 308 p. 22 illus., 2 in color.;;;final;149,95;160,45;164,95;136,5;249;;;;;;;English;Life Sciences;L24000 Plant Sciences ;PST;L24043 Plant Physiology;PSTD;Life Sciences;Jan 09;Title advertised in News;Contributed volume;Springer-Verlag Berlin Heidelberg;Available;20.03.2009;;;"<P>This book addresses diverse aspects of signaling at all levels of plant organization, starting from single molecules; through vesicle recycling and organelles, dynamic actin cytoskeletons, and plant organs bending in response to sensory stimuli induced by abiotic cues such as gravity and light; up to the whole organism as related to its circadian clock or pathogen defense. Emphasis is placed on the integrative aspects of signaling, which foster our understanding of sensory and communicative plants in all their complexity.</P>";<P>First comprehensive monograph on all emerging topics in plant signaling</P>;9<HTOFPA=ijcche>;Science
;978-3-540-92811-9;Bosch;Siegfried Bosch;Algebra;;Springer-Lehrbuch  ;7., überarb. Aufl.;2009;376;Brosch.;Buch;VIII, 376 S. 12 Abb.;;;final;27,99;29,95;30,8;22,99;46,5;;;;;;;Deutsch;Mathematik;M11019 Algebraic Geometry;PBMW;;;Mathematik;Feb 09;Title advertised in News;Lehrbuch;Springer-Verlag Berlin Heidelberg;Available;20.03.2009;;<P>Elementare Gruppentheorie.- Ringe und Polynome.- Algebraische Körpererweiterungen.- Galois-Theorie.- Fortführung der Gruppentheorie.- Anwendungen der Galois-Theorie.- Transzendente Erweiterungen.</P>;<P>Eine verständliche, konzise und immer flüssige Einführung in die Algebra, die insbesondere durch ihre sorgfältige didaktische Aufbereitung bei vielen Studierenden Freunde findet. Die vorliegende Auflage bietet neben zahlreichen Aufgaben (mit Lösungshinweisen) sowie einführenden und motivierenden Vorbemerkungen auch Ausblicke auf neuere Entwicklungen. Auch selten im Lehrbuch behandelte Themen wie Resultanten, Diskriminanten, Kummer-Theorie und Witt-Vektoren werden angesprochen. Die berühmten Formeln aus dem 16. Jahrhundert zur Auflösung von Gleichungen dritten und vierten Grades werden ausführlich erläutert und in den Rahmen der Galois-Theorie eingeordnet.</P> <P>Ein klares, modernes und inhaltsreiches Lehrbuch, das für das Studium der Algebra unentbehrlich ist.</P>;;9<HTOFPA=jcibbj>;Lehrbuch
;978-3-642-00263-2;Budiyono;"Agus Budiyono; Bambang Riyanto; Endra Joelianto (Eds.)";Intelligent Unmanned Systems: Theory and Applications;;Studies in Computational Intelligence  Vol. 192;;2009;276;Hardcover;Book;X, 276 p. 208 illus.;;;final;99,95;106,95;109,95;90;166;;;;;;;English;Engineering;T11006 Appl.Mathematics/Computational Methods of Engineering;TBDC;T19000 Control , Robotics, Mechatronics;TJFM;Engineering;Mrz 09;Title advertised in News;Monograph;Springer-Verlag Berlin Heidelberg;Available;20.03.2009;;<P>Image Processing in Optical Guidance for Autonomous Landing of Lunar Probe.- Locomotion Mechanism of Intelligent Unmanned Explorer for Deep Space Exploration.- Global Linear Modeling of Small Scale Helicopter.- Control of Small Scale Helicopter Using s-CDM and LQ Design.- Discontinuous Control and Backstepping Method for the Underactuated Control of VTOL Aerial Robots with Four Rotors.- An Insect-Like Flapping-Wing Device Actuated by a Compressed Unimorph Piezoelectric Composite Actuator.- Designing Cicada-Mimetic Flapping Wing with Composite Wing Structure and Application to Flapping MAV.- Robot-System for Management of Environmental Conditions Using Multiple Mobile Robot Types - Sample Application for Position Estimation.- Locomotion Elicited by Electrical Stimulation in the Midbrain of the Lizard Gekko gecko.- How Does 'Intelligent Mechanical Design Concept' Help Us to Enhance Robot’s Function?.- Multiple Moving Obstacles Avoidance for Wheeled Type Robots Using Neural Network.- Virtual Reality Simulation of Fire Fighting Robot Dynamic and Motion.- Monotonic Decreasing Energy and Switching Control for Underactuated Manipulators.- Positive Real Synthesis of Networked Control System: An LMI Approach.- Controlled Switching Dynamical Systems Using Linear Impulsive Differential Equations.- Structural Damage Detection Using Randomized Trained Neural Networks.- Fault and Mode Switching Identification for Hybrid Systems with Application to Electro-Hydraulic System in Vehicles.</P>;<P>The book covers multi-faceted aspects of intelligent unmanned systems. A wide array of relevant theory and applications are presented to address the current and future challenges in the area of unmanned systems. The book largely represents the extended version of select papers from the International Conference on Intelligent Unmanned System ICIUS 2007 which was jointly organized by the Center for Unmanned System Studies at Institut Teknologi Bandung, Artificial Muscle Research Center at Konkuk University and Institute of Bio-inspired Structure and Surface Engineering, Nanjing University of Aeronautics and Astronautics. The joint-event was the 3rd conference extending from International Conference on Emerging System Technology (ICEST) in 2005 and International Conference on Technology Fusion (ICTF) in 2006 both conducted in Seoul. ICIUS 2007 was focused on both theory and application primarily covering the topics on robotics, autonomous vehicles and intelligent unmanned technologies. The conference was arranged into three parallel symposia with the following scope of topics Unmanned Systems, Robotics and Biomimetics and Control and Intelligent System.</P>;<P>Reports recent research results in intelligent unmanned systems</P>;9<HTOGPC=aacgdc>;Science
X;978-3-540-92750-1;Carlberg;Michael Carlberg;Strategic Policy Interactions in a Monetary Union;;;;2009;256;Hardcover;Book;XVI, 256 p.;;;final;84,95;90,9;93,45;78;141;;;;;;;English;Economics/Management Science;W1212X Macroeconomics/Monetary Economics;KCB;W1209X International Economics ;KCL;Business / Economics;Jan 09;Title advertised in News;Monograph;Springer-Verlag Berlin Heidelberg;Available;20.03.2009;;The Monetary Union as a Whole: Absence of a Deficit Target.- The Monetary Union as a Whole: Presence of a Deficit Target.- The Monetary Union of Two Countries: Absence of a Deficit Target.- The Monetary Union of Two Countries: Presence of a Deficit Target.;This book studies the strategic policy interactions in a monetary union. The leading protagonists are the European Central Bank and national governments. The target of the ECB is low inflation in Europe. The targets of a national government are low unemployment and a low structural deficit. There are demand shocks, supply shocks, and mixed shocks. There are country-specific shocks and common shocks. This book develops a series of basic, intermediate, and more advanced models. Here the focus is on the Nash equilibrium. The key questions are: Given a shock, can policy interactions reduce the existing loss? And to what extent can they do so? Another topical issue is policy cooperation. To illustrate all of this there are a lot of numerical examples.;<P>Provides readers with a practical grasp of the macroeconomic principles necessary to understand a monetary union</P> <P>With numberical simulations of monetary policy, fiscal policy, and wage policy</P> <P>Describes how policy interactions can reduce the existing loss in case of a given shock</P> <P>Focus on Nash equilibrium </P>;9<HTOFPA=jchfab>;Science
;978-1-4020-9596-2;Chen;"George G. Chen; Paul B.S. Lai (Eds.)";Apoptosis in Carcinogenesis and Chemotherapy;Apoptosis in cancer;;;2009;386;Hardcover;Book;XXII, 386 p.;;;final;164,95;176,5;181,45;150;274;;;;;;;English;Biomedicine;B0000X Biomedicine general;MBGR;L16060 Apoptosis;PSF;Biomedicine;Feb 09;Title advertised in News;Contributed volume;Springer Netherlands;Available;20.03.2009;;<P>1. Apoptotic Signaling Pathway and Resistance to Apoptosis in Breast Cancer Stem Cells. 2. Anti-cancer strategy of transitional cell carcinoma of bladder based on induction of different types of programmed cell deaths. 3. Apoptosis in Carcinogenesis and Chemotherapy of the Uterine Cervix. 4. Apoptosis in Colorectal Tumorigenesis and Chemotherapy. 5. Apoptosis In Cutaneous Melanoma. 6. Apoptosis in Carcinogenesis and Chemotherapy - Esophageal Cancer. 7. Molecular Targets in Gastric Cancer and Apoptosis. 8. Apoptosis and the Tumor Microenvironment in Hematologic Malignancies. 9. Hepatocellular carcinoma. 10. Apoptosis in the Development and Treatment of Laryngeal Cancer: Role of p53, Bcl-2 and Clusterin. 11. Cyclooxygenase-2 and its metabolites: implications for lung cancer therapy. 12. Roles of negative and positive growth regulators in nasopharyngeal carcinoma. 13. Cellular Signaling Mechanisms In Pancreatic Apoptosis. 14. Strategies to circumvent resistance to apoptosis in prostate cancer cells by Targeted necrosis. 15. Carcinogenesis and therapeutic strategies for thyroid cancer. 16. Abbreviations. 17. Subject index.</P>;<P>The purpose of this book is to provide information on apoptotic processes involved in major neoplastic diseases and their translations into emerging anti-cancer strategies. The book is divided into 15 chapters, each of which will be focused on one particular cancer (breast, bladder, cervical, colorectal, esophageal, gastric, laryngeal, liver, lung, nasopharyngeal, pancreatic, prostate, thyroid, leukaemia and cutaneous malignant melanoma). A number of established leaders in the field have critically summarized the recent discoveries concerning apoptosis in a particular cancer and its potential for anti-cancer treatment. The book describes how the apoptosis plays a role in the specific carcinogen-induced cellular and molecular changes during the development of the cancer, and critically discusses how the emerging anti-cancer strategy can be built by the utilization of the specific carcinogen-related apoptotic pathway. Therefore, this book will be not only for laboratory-based molecular and cell biologists and biochemists in cancer research but also for clinical oncologists and those working in the pharmaceutical and biotechnological industries.</P>;<P>Comprehensive review of recent development in apoptosis in major cancers and their chemotherapy</P> <P>Translations of laboratory cancer research into emerging anti-cancer strategies</P>;9<HTMELC=ajfjgc>;Science
;978-3-540-88084-4;Dompere;Kofi Kissi Dompere;Epistemic Foundations of Fuzziness;Unified Theories on Decision-Choice Processes;Studies in Fuzziness and Soft Computing  Vol. 236;;2009;266;Hardcover;Book;XXII, 266 p.;;;final;99,95;106,95;109,95;90;166;;;;;;;English;Engineering;T11006 Appl.Mathematics/Computational Methods of Engineering;TBDC;I21017 Artificial Intelligence (incl. Robotics);UXC;Engineering;Nov 08;Title advertised in News;Monograph;Springer-Verlag Berlin Heidelberg;Available;20.03.2009;;<P>Epistemic Foundations of Fuzzy Mathematics.- The Rationality and Two Number Systems.- Rationality and Decision-Choice-Theoretic Processes.- Non-Fuzzy Rationality and Classical Decision-Choice Process.- Fuzzy Rationality and Non-Classical Decission-Choice Process.- Contradictions, Paradoxes and Fuzzy Optimal Decision-Choice Rationality.</P>;<P>This monograph is a second in the series of treatment on fuzzy rationality as an enveloping of decision-choice rationalities where limited information, vagueness, ambiguities and inexactnes are essential characteristics of our knowledge structure and reasoning process. The volume is devoted to a unified epistemic models and theories of decision-choice under total uncertainties.</P>;<P> <P>Presents the essential structure of optimal fuzzy rationality in decision-choice actions and its philosophical and mathematical foundations</P> <P>Defines a framework for unified epistemic models of decision-choice processes</P> <P>Focuses on theory of knowledge and the role of fuzzy paradigm and fuzzy rationality</P>;9<HTOFPA=iiaiee>;Science
;978-3-540-88082-0;Dompere;Kofi Kissi Dompere;Fuzzy Rationality;A Critique and Methodological Unity of Classical, Bounded and Other Rationalities;Studies in Fuzziness and Soft Computing  Vol. 235;;2009;290;Hardcover;Book;XVIII, 290 p.;;;final;99,95;106,95;109,95;90;166;;;;;;;English;Engineering;T11006 Appl.Mathematics/Computational Methods of Engineering;TBDC;I21017 Artificial Intelligence (incl. Robotics);UXC;Engineering;Nov 08;Title advertised in News;Monograph;Springer-Verlag Berlin Heidelberg;Available;20.03.2009;;<P>General Epistemics of Science and Rationality.- Information and Knowledge in Decision- Choice Rationality.- Decision, Choice and Rationality.- Ideology and Decision-Choice Rationality.</P>;<P>This monograph is special in its orientation. It is first of its kind devoted to bringing to the general scientific community, the epistemic foundation of fuzzy paradigm composed of its logic and mathematics of reasoning. It is first of a sequence of treaties on fuzzy decision-choice rationality. The monograph presents the structure of general rationality and points of entry of classical, bounded and related rationalities. Fuzzy decision-choice rationality is then introduced as a critique and methodological unity of classical and bounded rationalities.</P>;<P>Establishes an essential epistemic framework of fuzzy paradigm and the rationality that it induces for approximate reasoning </P> <P>Presents the theory of knowledge and how fuzzy paradigm instructs us in our understanding of cognitive movements from categories of potential to categories of actual </P> <P>Describes the role that fuzzy rationality plays in our information-knowledge enterprise </P>;9<HTOFPA=iiaica>;Science
;978-3-642-00470-4;Eckle-Kohler;"Judith Eckle-Kohler; Michael Kohler";Eine Einführung in die Statistik und ihre Anwendungen;;Springer-Lehrbuch  ;;2009;255;Brosch.;Buch;X, 255 S.;;;final;23,32;24,95;25,65;20,99;39;;;;;;;Deutsch;Statistik;S11001 Statistical Theory and Methods;PBT;S13004 Statistics for Business/Economics/Mathematical Finance/Insurance;KMRD;Statistik;Apr 09;Title advertised in News;Lehrbuch;Springer-Verlag Berlin Heidelberg;Available;20.03.2009;;<P>Einführung.- Erhebung von Daten.- Deskriptive und explorative Statistik.- Das mathematische Modell des Zufalls.- Zufallsvariablen und ihre Eigenschaften.- Induktive Statistik.- Mathematische Grundlagen.- Anmerkungen.</P>;<P>Dieses Buch gibt eine umfassende Einführung in die Grundprinzipien der Statistik und die zugrundeliegende mathematische Theorie des Zufalls. Schwerpunkte dabei sind die Verdeutlichung des Nutzens dieser Theorie in Anwendungen und die mathematisch exakte Einführung wichtiger Konzepte (wie z.B. des Begriffes der Zufallsvariablen) bei gleichzeitigem Ausblenden nicht benötigter Details. Das Buch soll auch Lesern ohne Vorkenntnisse in diesem Bereich ermöglichen, die grundlegenden Ideen und den Nutzen der Statistik schnell kennenzulernen. Behandelt werden unter anderem: Die Erhebung von Daten im Rahmen von Studien und Umfragen, Methoden der beschreibenden Statistik (wie z.B. Histogramme und statistische Maßzahlen), die Grundbegriffe der Wahrscheinlichkeitstheorie (insbesondere Wahrscheinlichkeitsmaße, Zufallsvariablen, Erwartungswert und Varianz sowie die Gesetze der großen Zahlen und der zentrale Grenzwertsatz) und die grundlegenden Methoden der schließenden Statistik (insbesondere Punktschätzungen, Bereichsschätzungen und statistische Testverfahren). Das Buch wird an der TU Darmstadt zur Zeit sowohl als Grundlage für Vorlesungen für Studierende des Faches Mathematik als auch in Service-Veranstaltungen für Hörer anderer Fächer (wie z.B. Biologie, Psychologie, Pädagogik und Soziologie) eingesetzt.</P>;;9<HTOGPC=aaehae>;Lehrbuch
X;978-3-540-93945-0;Felsen;"Leopold B. Felsen; Mauro Mongiardo; Peter Russer";Electromagnetic Field Computation by Network Methods;;;;2009;214;Hardcover;Book;XIV, 214 p. 58 illus.;;;final;59,95;64,15;65,95;55,99;99,5;;;;;;;English;Engineering;T11014 Computational Intelligence;TBC;P2601X Classical Electrodynamics, Wave Phenomena ;PHK;Engineering;Feb 09;Title advertised in News;Monograph;Springer-Verlag Berlin Heidelberg;Available;20.03.2009;;<P>Introduction.- Representations of Electromagnetic Fields.- Wave-Guiding Configurations.- Two-Dimensional Domain.- Network Representation of Electromagnetic Fields.</P>;<P>In this monograph, the authors propose a systematic and rigorous treatment of electromagnetic field representations in complex structures. The architecture suggested in this book accommodates use of different numerical methods as well as alternative Green's function representations in each of the subdomains resulting from a partitioning of the overall problem. The subdomains are regions of space where electromagnetic energy is stored and are described in terms of equivalent circuit representations based either on lumped element circuits or on transmission lines. Connection networks connect the subcircuits representing the subdomains. The connection networks are lossless, don't store energy and represent the overall problem topology. This is similar to what is done in circuit theory and permits a phrasing of the solution of EM field problems in complex structures by Network-oriented methods.</P>;<P>Presents new strong models by combining important computational methods</P> <P>Last book of Leopold Felsen, published posthumously</P> <P>Shows an architecture to solve many classes of computational problems</P>;9<HTOFPA=jdjefa>;Science
;978-1-4020-8951-0;Geertman;"Stan Geertman; John Charles Harold Stillwell (Eds.)";Planning Support Systems Best Practice and New Methods;;GeoJournal Library  Vol. 95;;2009;490;Hardcover;Book;XXII, 490 p.;;;final;179,95;192,55;197,95;164;299;;;;;;;English;Social Sciences;X26000 Human Geography;RGC;G13007 Computer Applications in Earth Sciences;R;Social Sciences;Feb 09;Title advertised in News;Contributed volume;Springer Netherlands;Available;20.03.2009;;<P>From the contents</P> <P>Part 1: Application And Assessment Of Existing PSS.- Part 2: Design, Development And Implementation Of Recent PSS.- Part 3: New Methods For Planning Support.- Part 4: Participation And Collaboration In PSS.</P>;<P>This book is about a particular set of geo-information technologies known as Planning Support Systems (PSS). It focuses on the adoption and application of PSS in practice. It aims to illustrate best practice and to demonstrate new methods that are being developed for creating the next generation of PSS for use in various public or private sector planning contexts. The book serves as a medium for the exchange of knowledge, insights and experiences, thereby preventing those working in this field from having to ‘reinvent the wheel’. It also serves to communicate details about PSS methodology and management to those less informed about contemporary developments. The book stimulates new and exciting applications of PSS in diverse planning situations. It provides planning practitioners, system developers and researchers with helpful insights into what planning support systems are, how they can be constructed and implemented, and in which situations they can provide valuable support for decision making.</P>;<P>Prime focus on support for actual planning practice</P> <P>Pays particular attention to the support role of the systems</P> <P>Takes a demand side perspective (real world applications) on planning support</P> <P>Describes new and innovative developments</P> <P>Covers support systems for a wide variety of types/forms of planning</P>;9<HTMELC=aijfba>;Science
